TeacherID,TeacherName,Gender,Expertise,YearsOfExperience,TeacherRating,CourseCount,EnrollmentCount,AverageCourseRating,RatingTier,TeacherRating_Score,CourseRating_Score,Enrollment_Score,InstructorPerformanceScore,PerformanceTier,ExperienceGroup
TC00001,Leonard Montgomery,Female,Cybersecurity,6,3.24,15,36,2.8536111111111113,Medium,0.5586734693877551,0.2525780344116635,0.004279131007241606,32.53564277212158,Low Performer,6-10 Years
TC00002,Jill Day,Female,Digital Marketing,9,4.14,9,68,3.708823529411765,High,0.7882653061224489,0.8827156016537319,0.014812376563528639,67.13548384231781,Medium Performer,6-10 Years
TC00003,Amber Torres,Male,Design,4,1.56,15,59,3.107627118644068,Low,0.13010204081632654,0.4397420951784805,0.01184990125082291,23.030763464808743,Low Performer,0-5 Years
TC00004,Kristi Scott,Female,Machine Learning,9,4.39,8,47,2.54936170212766,High,0.8520408163265307,0.0284010015376277,0.007899934167215274,35.375671397910644,Low Performer,6-10 Years
TC00005,David Williams,Male,Finance,2,3.11,18,47,2.7897872340425534,Medium,0.5255102040816326,0.2055513288034212,0.007899934167215274,29.400459998746463,Low Performer,0-5 Years
TC00006,Rebecca Webb,Male,Cybersecurity,14,3.36,15,48,3.2183333333333333,Medium,0.5892857142857142,0.5213126422262988,0.008229098090849245,44.58851622229751,Low Performer,11-20 Years
TC00007,Angela Beard,Female,Machine Learning,6,4.36,9,49,2.5108163265306125,High,0.8443877551020409,0.0,0.008558262014483214,33.9466754443713,Low Performer,6-10 Years
TC00008,Steven Walker,Male,Data Science,15,3.54,9,133,3.267218045112782,Medium,0.6352040816326532,0.5573318728839181,0.036208031599736665,48.42559881265758,Low Performer,11-20 Years
TC00009,Alexander Tucker,Female,Project Management,2,2.22,15,58,3.1743103448275862,Low,0.29846938775510207,0.4888756262451013,0.011520737327188942,31.724215306551912,Low Performer,0-5 Years
TC00010,Frances Sanchez,Male,Data Science,1,2.18,17,81,3.3350617283950617,Low,0.288265306122449,0.60732045188653,0.019091507570770244,36.20526047177457,Low Performer,0-5 Years
TC00011,Carol Edwards,Female,Artificial Intelligence,8,3.55,9,46,2.9563043478260873,Medium,0.6377551020408163,0.3282444594670575,0.007570770243581303,38.791397865186575,Low Performer,6-10 Years
TC00012,Christopher Nelson,Female,Cybersecurity,2,3.85,9,26,3.428846153846154,Medium,0.7142857142857144,0.676422687114095,0.0009874917709019092,55.64808589141042,Medium Performer,0-5 Years
